File,mean_particles,File_path,n_samples,time_per_event,code,code_version,algorithm,strategy,radius,power,backend,backend_version
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,23.02,Fastjet,3.5.1,EEKt,Best,1.5,-1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,25.17,Fastjet,3.5.1,EEKt,Best,1.5,-1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,28.04,Fastjet,3.5.1,EEKt,Best,1.5,-1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,30.51,Fastjet,3.5.1,EEKt,Best,1.5,-1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,33.32,Fastjet,3.5.1,EEKt,Best,1.5,-1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,20.97,Fastjet,3.5.1,EEKt,Best,1.5,1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,23.5,Fastjet,3.5.1,EEKt,Best,1.5,1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,25.74,Fastjet,3.5.1,EEKt,Best,1.5,1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,28.78,Fastjet,3.5.1,EEKt,Best,1.5,1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,31.6,Fastjet,3.5.1,EEKt,Best,1.5,1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,34.44,Fastjet,3.5.1,EEKt,Best,1.5,1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,21.44,Fastjet,3.5.1,EEKt,Best,2.0,0.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,24.66,Fastjet,3.5.1,EEKt,Best,2.0,0.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,27.83,Fastjet,3.5.1,EEKt,Best,2.0,0.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,31.14,Fastjet,3.5.1,EEKt,Best,2.0,0.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,35.12,Fastjet,3.5.1,EEKt,Best,2.0,0.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,38.86,Fastjet,3.5.1,EEKt,Best,2.0,0.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,19.71,Fastjet,3.5.1,EEKt,Best,2.0,-1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,22.77,Fastjet,3.5.1,EEKt,Best,2.0,-1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,25.39,Fastjet,3.5.1,EEKt,Best,2.0,-1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,28.36,Fastjet,3.5.1,EEKt,Best,2.0,-1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,31.78,Fastjet,3.5.1,EEKt,Best,2.0,-1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,35.06,Fastjet,3.5.1,EEKt,Best,2.0,-1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,20.56,Fastjet,3.5.1,EEKt,Best,2.0,1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,23.67,Fastjet,3.5.1,EEKt,Best,2.0,1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,26.81,Fastjet,3.5.1,EEKt,Best,2.0,1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,29.78,Fastjet,3.5.1,EEKt,Best,2.0,1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,33.38,Fastjet,3.5.1,EEKt,Best,2.0,1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,36.99,Fastjet,3.5.1,EEKt,Best,2.0,1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,21.45,Fastjet,3.5.1,EEKt,Best,4.0,0.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,24.7,Fastjet,3.5.1,EEKt,Best,4.0,0.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,27.8,Fastjet,3.5.1,EEKt,Best,4.0,0.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,31.35,Fastjet,3.5.1,EEKt,Best,4.0,0.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,35.41,Fastjet,3.5.1,EEKt,Best,4.0,0.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,38.66,Fastjet,3.5.1,EEKt,Best,4.0,0.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,19.93,Fastjet,3.5.1,EEKt,Best,4.0,-1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,22.74,Fastjet,3.5.1,EEKt,Best,4.0,-1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,25.44,Fastjet,3.5.1,EEKt,Best,4.0,-1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,28.44,Fastjet,3.5.1,EEKt,Best,4.0,-1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,31.88,Fastjet,3.5.1,EEKt,Best,4.0,-1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,34.86,Fastjet,3.5.1,EEKt,Best,4.0,-1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,20.75,Fastjet,3.5.1,EEKt,Best,4.0,1.0,C++,gcc14.2
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,23.76,Fastjet,3.5.1,EEKt,Best,4.0,1.0,C++,gcc14.2
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,27.27,Fastjet,3.5.1,EEKt,Best,4.0,1.0,C++,gcc14.2
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,29.92,Fastjet,3.5.1,EEKt,Best,4.0,1.0,C++,gcc14.2
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,33.96,Fastjet,3.5.1,EEKt,Best,4.0,1.0,C++,gcc14.2
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,37.23,Fastjet,3.5.1,EEKt,Best,4.0,1.0,C++,gcc14.2
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,16.21337,JetReconstruction,unknown,Durham,Best,4.0,1.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,19.33639,JetReconstruction,unknown,Durham,Best,4.0,1.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,20.81015,JetReconstruction,unknown,Durham,Best,4.0,1.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,23.22946,JetReconstruction,unknown,Durham,Best,4.0,1.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,25.786730000000002,JetReconstruction,unknown,Durham,Best,4.0,1.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,28.22149,JetReconstruction,unknown,Durham,Best,4.0,1.0,Julia,1.12.0-rc1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,13.10867,JetReconstruction,unknown,EEKt,Best,0.2,0.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,15.9116,JetReconstruction,unknown,EEKt,Best,0.2,0.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,16.823800000000002,JetReconstruction,unknown,EEKt,Best,0.2,0.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,19.21147,JetReconstruction,unknown,EEKt,Best,0.2,0.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,21.30877,JetReconstruction,unknown,EEKt,Best,0.2,0.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,23.759149999999998,JetReconstruction,unknown,EEKt,Best,0.2,0.0,Julia,1.12.0-rc1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,13.77682,JetReconstruction,unknown,EEKt,Best,0.2,-1.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,16.12731,JetReconstruction,unknown,EEKt,Best,0.2,-1.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,17.66367,JetReconstruction,unknown,EEKt,Best,0.2,-1.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,19.6061,JetReconstruction,unknown,EEKt,Best,0.2,-1.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,21.86061,JetReconstruction,unknown,EEKt,Best,0.2,-1.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,23.529320000000002,JetReconstruction,unknown,EEKt,Best,0.2,-1.0,Julia,1.12.0-rc1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,13.40733,JetReconstruction,unknown,EEKt,Best,0.2,1.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,14.44577,JetReconstruction,unknown,EEKt,Best,0.2,1.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,16.57326,JetReconstruction,unknown,EEKt,Best,0.2,1.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,19.039080000000002,JetReconstruction,unknown,EEKt,Best,0.2,1.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,21.33819,JetReconstruction,unknown,EEKt,Best,0.2,1.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,23.63098,JetReconstruction,unknown,EEKt,Best,0.2,1.0,Julia,1.12.0-rc1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,15.022039999999999,JetReconstruction,unknown,EEKt,Best,0.4,0.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,17.84431,JetReconstruction,unknown,EEKt,Best,0.4,0.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,19.32236,JetReconstruction,unknown,EEKt,Best,0.4,0.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,21.943550000000002,JetReconstruction,unknown,EEKt,Best,0.4,0.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,24.02344,JetReconstruction,unknown,EEKt,Best,0.4,0.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,26.546550000000003,JetReconstruction,unknown,EEKt,Best,0.4,0.0,Julia,1.12.0-rc1
events-ee-Z.hepmc3.gz,43.05,data/events-ee-Z.hepmc3.gz,16,14.640630000000002,JetReconstruction,unknown,EEKt,Best,0.4,-1.0,Julia,1.12.0-rc1
events-ee-120.hepmc3.gz,47.08,data/events-ee-120.hepmc3.gz,16,18.27114,JetReconstruction,unknown,EEKt,Best,0.4,-1.0,Julia,1.12.0-rc1
events-ee-150.hepmc3.gz,51.57,data/events-ee-150.hepmc3.gz,16,19.13666,JetReconstruction,unknown,EEKt,Best,0.4,-1.0,Julia,1.12.0-rc1
events-ee-200.hepmc3.gz,55.9,data/events-ee-200.hepmc3.gz,16,21.95775,JetReconstruction,unknown,EEKt,Best,0.4,-1.0,Julia,1.12.0-rc1
events-ee-230.hepmc3.gz,60.82,data/events-ee-230.hepmc3.gz,16,24.61082,JetReconstruction,unknown,EEKt,Best,0.4,-1.0,Julia,1.12.0-rc1
events-ee-H.hepmc3.gz,64.97,data/events-ee-H.hepmc3.gz,16,26.34958,JetReconstruction,unknown,EEKt,Best,0.4,-1.0,Julia,1.12.0-rc1
